Date,SignupConversion,DAU,RetentionD1,LatencyP95,ErrorRate,SupportTicketVolume
2026-03-25,0.12,5000,0.45,150,0.01,20
2026-03-26,0.13,5100,0.46,145,0.01,18
2026-03-27,0.12,5050,0.44,155,0.01,22
2026-03-28,0.14,5200,0.47,140,0.01,15
2026-03-29,0.13,5150,0.45,150,0.02,25
2026-03-30,0.15,5300,0.48,145,0.01,19
2026-03-31,0.14,5250,0.46,155,0.01,21
2026-04-01,0.16,5500,0.49,160,0.02,30
2026-04-02,0.18,5800,0.50,180,0.03,45
2026-04-03,0.17,6000,0.42,210,0.05,65
2026-04-04,0.15,6200,0.38,250,0.08,80
2026-04-05,0.14,6100,0.35,320,0.12,120
2026-04-06,0.12,5900,0.32,450,0.15,150
2026-04-07,0.10,5500,0.28,600,0.20,200
